date,open,close,high,low,volume,amount,code
2011-03-31,4176.16,4131.2,4187.3,4123.77,24368900,35292000000.0,sz399303
2011-04-01,4140.57,4185.28,4185.28,4128.8,20065000,29323000000.0,sz399303
2011-04-06,4167.55,4170.58,4185.86,4153.2,22348400,33002000000.0,sz399303
2011-04-07,4169.12,4199.93,4199.93,4155.08,23077200,33731000000.0,sz399303
2011-04-08,4192.38,4252.53,4252.53,4190.23,24359300,36796000000.0,sz399303
2011-04-11,4261.51,4217.43,4261.51,4214.72,29283700,42314000000.0,sz399303
2011-04-12,4205.44,4203.59,4222.85,4185.07,26661400,37280000000.0,sz399303
2011-04-13,4184.88,4247.75,4247.75,4173.05,23202700,33379000000.0,sz399303
2011-04-14,4245.36,4248.39,4262.78,4237.38,26368300,38422000000.0,sz399303
2011-04-15,4235.64,4248.21,4248.21,4203.2,26614200,38351000000.0,sz399303
2011-04-18,4232.18,4268.47,4268.47,4232.02,30304300,44267000000.0,sz399303
2011-04-19,4237.56,4238.34,4261.03,4210.7,33007800,47097000000.0,sz399303
2011-04-20,4245.69,4273.57,4273.57,4240.69,28815600,43788000000.0,sz399303
2011-04-21,4281.33,4299.9,4303.39,4273.6,28129900,42840000000.0,sz399303
2011-04-22,4288.68,4272.78,4291.74,4262.94,27292600,39955000000.0,sz399303
2011-04-25,4254.28,4177.54,4254.28,4177.54,25645900,37997000000.0,sz399303
2011-04-26,4151.87,4088.98,4162.57,4073.31,21724400,30760000000.0,sz399303
2011-04-27,4104.31,4041.33,4110.05,4011.13,21468900,30628000000.0,sz399303
2011-04-28,4054.08,3904.73,4054.2,3903.09,21688800,30067000000.0,sz399303
2011-04-29,3900.3,3960.23,3960.23,3882.85,17000800,23279000000.0,sz399303
2011-05-03,3960.18,4025.93,4025.93,3942.76,19119600,26263000000.0,sz399303
2011-05-04,3997.08,3950.14,4009.85,3937.95,21062200,28374000000.0,sz399303
2011-05-05,3931.31,3968.77,3979.77,3929.67,18709200,24433000000.0,sz399303
2011-05-06,3926.77,3990.63,4005.56,3923.28,18725200,25295000000.0,sz399303
2011-05-09,4002.15,4028.36,4033.02,4002.15,18909000,25542000000.0,sz399303
2011-05-10,4034.41,4060.05,4060.05,4013.7,21253600,28844000000.0,sz399303
2011-05-11,4053.5,4075.92,4085.89,4032.82,22449800,30848000000.0,sz399303
2011-05-12,4037.81,4018.36,4075.33,4018.3,25694400,33498000000.0,sz399303
2011-05-13,4022.0,4040.61,4040.61,3975.92,22272100,29308000000.0,sz399303
2011-05-16,4034.4,4038.37,4056.11,4030.79,21217300,27830000000.0,sz399303
2011-05-17,4029.86,4015.76,4040.01,3973.31,23270200,31047000000.0,sz399303
2011-05-18,3999.43,4038.32,4039.21,3995.71,20349800,26917000000.0,sz399303
2011-05-19,4046.42,4025.59,4060.94,4022.29,22082100,29267000000.0,sz399303
2011-05-20,4018.34,4010.27,4023.8,3992.74,20140800,26380000000.0,sz399303
2011-05-23,3997.44,3862.24,3997.44,3860.37,25149400,31887000000.0,sz399303
2011-05-24,3837.44,3866.73,3869.46,3779.69,22538300,29405000000.0,sz399303
2011-05-25,3847.52,3818.06,3874.05,3814.14,23286500,28733000000.0,sz399303
2011-05-26,3848.64,3784.73,3850.76,3783.91,25912900,30263000000.0,sz399303
2011-05-27,3776.09,3661.56,3777.14,3655.83,25093200,29011000000.0,sz399303
2011-05-30,3629.72,3601.66,3662.06,3595.37,20245700,23710000000.0,sz399303
2011-05-31,3610.19,3677.73,3677.73,3590.57,20355000,24178000000.0,sz399303
2011-06-01,3664.32,3720.73,3721.6,3661.69,21752100,25936000000.0,sz399303
2011-06-02,3653.04,3663.4,3682.94,3610.33,21980800,26370000000.0,sz399303
2011-06-03,3660.92,3730.55,3731.08,3660.92,19956700,24883000000.0,sz399303
2011-06-07,3718.24,3767.4,3767.4,3718.24,19928800,24758000000.0,sz399303
2011-06-08,3758.38,3789.1,3791.12,3727.21,23658200,29362000000.0,sz399303
2011-06-09,3772.49,3712.68,3783.61,3712.68,24787100,30693000000.0,sz399303
2011-06-10,3697.59,3709.74,3711.54,3640.01,20881600,25268000000.0,sz399303
2011-06-13,3666.56,3699.37,3705.22,3647.19,16711200,20225000000.0,sz399303
2011-06-14,3695.46,3754.23,3759.74,3694.86,20604800,25223000000.0,sz399303
2011-06-15,3745.14,3723.0,3770.07,3721.96,19725600,24077000000.0,sz399303
2011-06-16,3679.32,3633.41,3688.54,3629.36,19408300,22483000000.0,sz399303
2011-06-17,3629.99,3577.54,3642.35,3574.11,16927300,19659000000.0,sz399303
2011-06-20,3563.01,3528.98,3566.75,3502.53,15130500,17862000000.0,sz399303
2011-06-21,3547.29,3577.5,3577.5,3522.02,16972600,19776000000.0,sz399303
2011-06-22,3582.76,3575.55,3590.07,3556.22,16863400,20336000000.0,sz399303
2011-06-23,3554.31,3645.34,3651.71,3538.06,20728500,25687000000.0,sz399303
2011-06-24,3628.7,3731.49,3746.62,3628.7,29384800,37026000000.0,sz399303
2011-06-27,3737.6,3793.23,3796.88,3737.2,28393300,36486000000.0,sz399303
2011-06-28,3794.63,3808.23,3812.86,3771.46,24561100,31525000000.0,sz399303
2011-06-29,3800.66,3761.43,3819.56,3761.43,23556900,30580000000.0,sz399303
2011-06-30,3762.36,3810.65,3811.74,3762.36,22074100,28131000000.0,sz399303
2011-07-01,3825.85,3828.74,3853.92,3815.74,27517700,34718000000.0,sz399303
2011-07-04,3849.07,3914.43,3914.43,3845.88,32387800,42759000000.0,sz399303
2011-07-05,3916.59,3953.19,3955.24,3913.27,36987600,48923000000.0,sz399303
